SCHLINSTID,SCHLYR,CNTYGEOGAREAID,DISTINSTID,STUDENRCNT,DISTSTUDENRCNT,CntyStudEnrCnt,FREELNCHCNT,DISTFREELNCHCNT,CntyFreeLnchCnt,REDLNCHCNT,DISTREDLNCHCNT,CntyRedLnchCnt,TOTELGBLAMT,DISTTOTELGBLAMT,CntyTotElgblAmt,FREEREDLNCHPCT,DISTFREEREDLNCHPCT,CntyFreeRedLnchPct,CNTYNM,DISTNM,SCHLNM,last column
627,"7/1/2016",21,2097,630,5461,5461,269,2891,2891,37,361,361,306,3252,3252,48.57,59.55,59.55,"Lincoln","Lincoln County SD","Newport High School",-
166,"7/1/2016",4,2262,339,476,5049,135,185,2213,30,42,455,165,227,2668,48.67,47.69,52.84,"Clatsop","Knappa SD 4","Hilda Lahti Elementary School",-
785,"7/1/2016",24,2138,162,3871,62073,65,1151,34127,14,354,4972,79,1505,39099,48.77,38.88,62.99,"Marion","Silver Falls SD 4J","Scotts Mills Elementary School",-
1308,"7/1/2016",9,1976,553,17699,26026,225,5758,9428,45,1394,2044,270,7152,11472,48.82,40.41,44.08,"Deschutes","Bend-LaPine Administrative SD 1","Elk Meadow Elementary School",-
1221,"7/1/2016",36,2254,536,5196,16761,218,1808,7470,44,279,1108,262,2087,8578,48.88,40.17,51.18,"Yamhill","Newberg SD 29J","Mountain View Middle School",-
4850,"7/1/2016",24,2336,139,1002,62073,60,347,34127,8,54,4972,68,401,39099,48.92,40.02,62.99,"Marion","Oregon Department of Education","Eagle Charter School",-
830,"7/1/2016",26,2180,464,47240,91695,191,16200,41819,36,2426,6364,227,18626,48183,48.92,39.43,52.55,"Multnomah","Portland SD 1J","Beach Elementary School",-
184,"7/1/2016",5,1948,394,3041,7622,155,1104,2646,38,203,538,193,1307,3184,48.98,42.98,41.77,"Columbia","St Helens SD 502","St Helens Middle School",-
4342,"7/1/2016",36,2254,352,5196,16761,147,1808,7470,26,279,1108,173,2087,8578,49.15,40.17,51.18,"Yamhill","Newberg SD 29J","Joan Austin Elementary School",-
650,"7/1/2016",22,2100,1393,9515,22568,557,3628,8153,128,695,1338,685,4323,9491,49.17,45.43,42.06,"Linn","Greater Albany Public SD 8J","South Albany High School",-
374,"7/1/2016",15,2039,714,2651,29154,316,1475,13824,36,151,1958,352,1626,15782,49.3,61.34,54.13,"Jackson","Phoenix-Talent SD 4","Phoenix High School",-
750,"7/1/2016",24,2142,357,41718,62073,156,22855,34127,20,3190,4972,176,26045,39099,49.3,62.43,62.99,"Marion","Salem-Keizer SD 24J","McKinley Elementary School",-
1201,"7/1/2016",34,2239,1300,20686,86801,540,7730,27961,101,1356,5042,641,9086,33003,49.31,43.92,38.02,"Washington","Hillsboro SD 1J","Hillsboro High School",-
4762,"7/1/2016",3,1924,442,17309,59069,182,4957,14687,36,1188,3370,218,6145,18057,49.32,35.5,30.57,"Clackamas","North Clackamas SD 12","Ardenwald Elementary School",-
346,"7/1/2016",13,2015,75,75,1299,26,26,383,11,11,149,37,37,532,49.33,49.33,40.95,"Harney","Harney County SD 4","Crane Elementary School",-
3577,"7/1/2016",26,2183,190,11972,91695,76,5725,41819,18,1042,6364,94,6767,48183,49.47,56.52,52.55,"Multnomah","Gresham-Barlow SD 10J","Springwater Trail High School",-
1143,"7/1/2016",34,2242,556,12808,86801,230,3450,27961,46,729,5042,276,4179,33003,49.64,32.63,38.02,"Washington","Tigard-Tualatin SD 23J","Tualatin Elementary School",-
182,"7/1/2016",5,1948,622,3041,7622,270,1104,2646,39,203,538,309,1307,3184,49.68,42.98,41.77,"Columbia","St Helens SD 502","McBride Elementary School",-
1072,"7/1/2016",31,2212,509,2290,3844,210,1018,1672,43,161,328,253,1179,2000,49.71,51.48,52.03,"Union","La Grande SD 1","La Grande Middle School",-
355,"7/1/2016",13,2014,183,867,1299,62,341,383,29,125,149,91,466,532,49.73,53.75,40.95,"Harney","Harney County SD 3","Hines Middle School",-
567,"7/1/2016",20,2084,418,1407,45309,167,526,19963,41,115,3599,208,641,23562,49.76,45.56,52,"Lane","Fern Ridge SD 28J","Elmira High School",-
957,"7/1/2016",26,2182,2615,11538,91695,1121,6911,41819,181,807,6364,1302,7718,48183,49.79,66.89,52.55,"Multnomah","Reynolds SD 7","Reynolds High School",-
157,"7/1/2016",4,1936,266,1001,5049,105,449,2213,28,97,455,133,546,2668,50,54.55,52.84,"Clatsop","Warrenton-Hammond SD 30","Warrenton High School",-
39,"7/1/2016",2,1901,389,6697,8786,174,1985,2779,21,355,537,195,2340,3316,50.13,34.94,37.74,"Benton","Corvallis SD 509J","Wilson Elementary School",-
331,"7/1/2016",12,2008,275,609,891,86,209,371,52,111,129,138,320,500,50.18,52.55,56.12,"Grant","John Day SD 3","Grant Union Junior/Senior High School",-
716,"7/1/2016",24,2138,412,3871,62073,167,1151,34127,40,354,4972,207,1505,39099,50.24,38.88,62.99,"Marion","Silver Falls SD 4J","Robert Frost Elementary School",-
369,"7/1/2016",14,2024,1363,4120,4084,539,1800,1800,147,404,404,686,2204,2204,50.33,53.5,53.97,"Hood River","Hood River County SD","Hood River Valley High School",-
65,"7/1/2016",3,1924,447,17309,59069,184,4957,14687,41,1188,3370,225,6145,18057,50.34,35.5,30.57,"Clackamas","North Clackamas SD 12","Bilquist Elementary School",-
208,"7/1/2016",6,1966,544,4419,10115,235,1098,4131,39,184,614,274,1282,4745,50.37,29.01,46.91,"Coos","North Bend SD 13","North Bend Middle School",-
990,"7/1/2016",27,2190,361,3081,6838,150,1128,2997,32,234,560,182,1362,3557,50.42,44.21,52.02,"Polk","Dallas SD 2","Oakdale Heights Elementary School",-
4440,"7/1/2016",20,2083,351,11064,45309,151,6172,19963,26,907,3599,177,7079,23562,50.43,63.98,52,"Lane","Springfield SD 19","Academy of Arts and Academics",-
504,"7/1/2016",20,2082,444,17258,45309,209,5842,19963,15,1072,3599,224,6914,23562,50.45,40.06,52,"Lane","Eugene SD 4J","Awbrey Park Elementary School",-
144,"7/1/2016",4,1933,404,1861,5049,159,761,2213,45,151,455,204,912,2668,50.5,49.01,52.84,"Clatsop","Astoria SD 1","Astoria Middle School",-
994,"7/1/2016",27,2190,655,3081,6838,274,1128,2997,57,234,560,331,1362,3557,50.53,44.21,52.02,"Polk","Dallas SD 2","LaCreole Middle School",-
388,"7/1/2016",15,2042,789,4617,29154,328,2471,13824,71,384,1958,399,2855,15782,50.57,61.84,54.13,"Jackson","Central Point SD 6","Scenic Middle School",-
